Rpc;11;1.83%;0.11%;8.297MiB / 7.646GiB;94.9kB / 70.1kB;4.1kB / 57.3kB;105;31
Node_3;18;7.26%;0.21%;16.12MiB / 7.646GiB;179kB / 134kB;16.4kB / 221kB;105;31
Node_2;18;6.67%;0.21%;16.15MiB / 7.646GiB;232kB / 193kB;90.1kB / 221kB;105;31
Node_1;17;9.30%;0.21%;16.65MiB / 7.646GiB;289kB / 228kB;65.5kB / 221kB;105;31
Devnet_Goshimmer;18;208.31%;0.90%;70.48MiB / 7.646GiB;77.4kB / 173kB;0B / 77.8kB;105;31
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;321kB / 308kB;0B / 0B;105;31
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;68.8kB / 51.4kB;0B / 0B;105;31
Gateway_1;34;27.31%;2.84%;222.5MiB / 7.646GiB;9.95kB / 49.6kB;1.07MB / 12.3kB;112;33
Rpc;11;0.04%;0.11%;8.887MiB / 7.646GiB;128kB / 76.2kB;4.1kB / 57.3kB;112;33
Node_3;18;1.19%;0.20%;16.05MiB / 7.646GiB;213kB / 155kB;16.4kB / 291kB;112;33
Node_2;18;1.32%;0.22%;17.21MiB / 7.646GiB;280kB / 230kB;90.1kB / 291kB;112;33
Node_1;17;1.29%;0.22%;16.84MiB / 7.646GiB;333kB / 318kB;65.5kB / 291kB;112;33
Devnet_Goshimmer;18;211.59%;0.90%;70.29MiB / 7.646GiB;81.6kB / 182kB;0B / 77.8kB;112;33
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;370kB / 357kB;0B / 0B;112;33
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;72.8kB / 55.4kB;0B / 0B;112;33
Gateway_1;34;29.76%;2.84%;222.6MiB / 7.646GiB;11.9kB / 51.7kB;1.07MB / 12.3kB;119;32
Rpc;11;0.01%;0.12%;9.109MiB / 7.646GiB;134kB / 82.1kB;4.1kB / 57.3kB;119;32
Node_3;18;0.90%;0.21%;16.12MiB / 7.646GiB;232kB / 172kB;16.4kB / 414kB;119;32
Node_2;18;0.87%;0.22%;17.41MiB / 7.646GiB;310kB / 258kB;90.1kB / 414kB;119;32
Node_1;17;0.85%;0.21%;16.78MiB / 7.646GiB;367kB / 352kB;65.5kB / 414kB;119;32
Devnet_Goshimmer;18;214.37%;0.90%;70.3MiB / 7.646GiB;86kB / 193kB;0B / 77.8kB;119;32
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;393kB / 380kB;0B / 0B;119;32
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;76.9kB / 59.5kB;0B / 0B;119;32
Gateway_1;34;21.29%;2.84%;222.6MiB / 7.646GiB;14.5kB / 54.7kB;1.07MB / 12.3kB;126;31
Rpc;11;0.01%;0.12%;9.344MiB / 7.646GiB;143kB / 89kB;4.1kB / 57.3kB;126;31
Node_3;18;0.90%;0.20%;15.81MiB / 7.646GiB;249kB / 188kB;16.4kB / 430kB;126;31
Node_2;18;0.81%;0.21%;16.23MiB / 7.646GiB;340kB / 286kB;90.1kB / 430kB;126;31
Node_1;17;1.88%;0.21%;16.35MiB / 7.646GiB;402kB / 387kB;65.5kB / 430kB;126;31
Devnet_Goshimmer;18;212.61%;0.89%;69.97MiB / 7.646GiB;89.7kB / 201kB;0B / 77.8kB;126;31
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;414kB / 401kB;0B / 0B;126;31
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;82.5kB / 65.1kB;0B / 0B;126;31
Gateway_1;34;28.55%;2.84%;222.7MiB / 7.646GiB;20.3kB / 61kB;1.07MB / 12.3kB;134;31
Rpc;11;1.48%;0.12%;9.473MiB / 7.646GiB;158kB / 104kB;4.1kB / 57.3kB;134;31
Node_3;18;7.11%;0.21%;16.26MiB / 7.646GiB;276kB / 213kB;16.4kB / 463kB;134;31
Node_2;18;5.82%;0.23%;18.08MiB / 7.646GiB;386kB / 329kB;90.1kB / 463kB;134;31
Node_1;17;8.45%;0.22%;17.03MiB / 7.646GiB;458kB / 441kB;65.5kB / 463kB;134;31
Devnet_Goshimmer;18;210.16%;0.89%;69.99MiB / 7.646GiB;94.7kB / 212kB;0B / 77.8kB;134;31
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;448kB / 435kB;0B / 0B;134;31
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;94.3kB / 76.9kB;0B / 0B;134;31
Gateway_1;34;23.49%;2.84%;222.7MiB / 7.646GiB;22.8kB / 64.4kB;1.07MB / 12.3kB;141;33
Rpc;11;0.19%;0.12%;9.551MiB / 7.646GiB;166kB / 111kB;4.1kB / 57.3kB;141;33
Node_3;18;0.98%;0.21%;16.38MiB / 7.646GiB;300kB / 234kB;16.4kB / 623kB;141;33
Node_2;18;1.14%;0.22%;17.57MiB / 7.646GiB;424kB / 367kB;90.1kB / 623kB;141;33
Node_1;17;1.54%;0.23%;17.82MiB / 7.646GiB;504kB / 484kB;65.5kB / 623kB;141;33
Devnet_Goshimmer;18;205.98%;0.89%;69.98MiB / 7.646GiB;99kB / 221kB;0B / 77.8kB;141;33
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;472kB / 459kB;0B / 0B;141;33
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;100kB / 82.9kB;0B / 0B;141;33
Gateway_1;34;26.43%;2.85%;222.8MiB / 7.646GiB;25.4kB / 67.6kB;1.07MB / 12.3kB;148;33
Rpc;11;0.02%;0.12%;9.57MiB / 7.646GiB;174kB / 119kB;4.1kB / 57.3kB;148;33
Node_3;18;0.83%;0.21%;16.25MiB / 7.646GiB;319kB / 256kB;16.4kB / 639kB;148;33
Node_2;18;0.74%;0.22%;17.29MiB / 7.646GiB;459kB / 396kB;90.1kB / 639kB;148;33
Node_1;17;2.27%;0.21%;16.78MiB / 7.646GiB;540kB / 518kB;65.5kB / 639kB;148;33
Devnet_Goshimmer;18;209.47%;0.89%;70.01MiB / 7.646GiB;103kB / 231kB;0B / 77.8kB;148;33
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;495kB / 482kB;0B / 0B;148;33
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;106kB / 88.7kB;0B / 0B;148;33
