Client_1;18;1,92;=0,20;=15,5*1024;=7,646*1024*1024;=190;=144;=205;=795;=223;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=241;=216;=0;=0;=223;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=165;=135;=0;=0;=223;5
Gateway_1;29;44,03;=2,30;=180*1024;=7,646*1024*1024;=63,1;=85,8;=0;=16,4;=231;5
Rpc;12;0,02;=0,14;=10,75*1024;=7,646*1024*1024;=230;=188;=242;=28,7;=231;5
Client_1;18;1,50;=0,20;=15,37*1024;=7,646*1024*1024;=196;=150;=205;=807;=231;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=251;=226;=0;=0;=231;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=171;=141;=0;=0;=231;5
Gateway_1;29;42,09;=2,30;=180,1*1024;=7,646*1024*1024;=66,3;=89,5;=0;=16,4;=239;6
Rpc;12;0,02;=0,14;=10,81*1024;=7,646*1024*1024;=239;=196;=242;=28,7;=239;6
Client_1;18;1,38;=0,20;=15,66*1024;=7,646*1024*1024;=204;=157;=205;=971;=239;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=262;=236;=0;=0;=239;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=178;=148;=0;=0;=239;6
Gateway_1;29;42,79;=2,30;=180,2*1024;=7,646*1024*1024;=70;=93;=0;=16,4;=247;6
Rpc;12;0,01;=0,14;=10,86*1024;=7,646*1024*1024;=248;=204;=242;=28,7;=247;6
Client_1;18;1,46;=0,19;=15,14*1024;=7,646*1024*1024;=212;=164;=205;=983;=247;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=274;=246;=0;=0;=247;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=187;=154;=0;=0;=247;6
Gateway_1;29;43,47;=2,30;=180,4*1024;=7,646*1024*1024;=73;=96,6;=0;=16,4;=254;6
Rpc;12;0,03;=0,14;=10,98*1024;=7,646*1024*1024;=256;=212;=242;=28,7;=254;6
Client_1;18;1,56;=0,20;=15,46*1024;=7,646*1024*1024;=219;=170;=205;=995;=254;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=284;=256;=0;=0;=254;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=193;=160;=0;=0;=254;6
Gateway_1;29;43,99;=2,30;=180,4*1024;=7,646*1024*1024;=75,7;=100;=0;=16,4;=262;6
Rpc;12;0,02;=0,14;=11,01*1024;=7,646*1024*1024;=265;=220;=242;=28,7;=262;6
Client_1;18;1,34;=0,19;=15,24*1024;=7,646*1024*1024;=227;=176;=205;=1,01*1000;=262;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=294;=266;=0;=0;=262;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=200;=167;=0;=0;=262;6
Gateway_1;29;42,94;=2,31;=180,6*1024;=7,646*1024*1024;=80,9;=106;=0;=16,4;=270;6
Rpc;12;0,26;=0,14;=11,05*1024;=7,646*1024*1024;=279;=233;=242;=28,7;=270;6
Client_1;18;4,51;=0,20;=15,64*1024;=7,646*1024*1024;=237;=186;=205;=1,2*1000;=270;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=310;=282;=0;=0;=270;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=206;=173;=0;=0;=270;6
Gateway_1;29;46,93;=2,31;=180,7*1024;=7,646*1024*1024;=84,1;=111;=0;=16,4;=278;6
Rpc;12;0,39;=0,13;=10,43*1024;=7,646*1024*1024;=290;=244;=258;=28,7;=278;6
Client_1;18;3,98;=0,20;=15,92*1024;=7,646*1024*1024;=248;=194;=205;=1,22*1000;=278;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=325;=296;=0;=0;=278;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=217;=184;=0;=0;=278;6
Gateway_1;29;43,73;=2,31;=181*1024;=7,646*1024*1024;=86,4;=113;=0;=16,4;=286;5
Rpc;12;0,19;=0,14;=10,57*1024;=7,646*1024*1024;=298;=252;=258;=28,7;=286;5
Client_1;18;4,83;=0,20;=15,63*1024;=7,646*1024*1024;=255;=201;=205;=1,23*1000;=286;5
Clients_Router_1;2;0,01;=0,01;=820;=7,646*1024*1024;=335;=306;=0;=0;=286;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=225;=192;=0;=0;=286;5
Gateway_1;29;44,76;=2,31;=181,2*1024;=7,646*1024*1024;=89,6;=118;=0;=16,4;=293;5
Rpc;12;0,20;=0,14;=10,68*1024;=7,646*1024*1024;=307;=260;=258;=28,7;=293;5
Client_1;18;4,91;=0,20;=16,02*1024;=7,646*1024*1024;=263;=208;=205;=1,44*1000;=293;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=345;=316;=0;=0;=293;5
Gateways_Router_1;2;0,01;=0,01;=828;=7,646*1024*1024;=230;=197;=0;=0;=293;5
Gateway_1;29;41,94;=2,31;=181,1*1024;=7,646*1024*1024;=89,6;=118;=0;=16,4;=301;5
Rpc;12;0,02;=0,14;=10,68*1024;=7,646*1024*1024;=307;=260;=258;=28,7;=301;5
Client_1;18;1,56;=0,20;=15,48*1024;=7,646*1024*1024;=263;=208;=205;=1,44*1000;=301;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=345;=316;=0;=0;=301;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=232;=199;=0;=0;=301;5
Gateway_1;29;45,29;=2,31;=181,3*1024;=7,646*1024*1024;=92,4;=122;=0;=16,4;=309;5
Rpc;12;0,04;=0,14;=10,78*1024;=7,646*1024*1024;=315;=268;=258;=28,7;=309;5
Client_1;18;1,55;=0,20;=15,98*1024;=7,646*1024*1024;=270;=215;=205;=1,45*1000;=309;5
Clients_Router_1;2;0,01;=0,01;=820;=7,646*1024*1024;=355;=327;=0;=0;=309;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=238;=205;=0;=0;=309;5
Gateway_1;29;43,51;=2,32;=181,4*1024;=7,646*1024*1024;=95,2;=125;=0;=16,4;=317;5
Rpc;12;0,02;=0,14;=10,81*1024;=7,646*1024*1024;=324;=276;=258;=28,7;=317;5
Client_1;18;1,47;=0,20;=16,04*1024;=7,646*1024*1024;=277;=221;=205;=1,47*1000;=317;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=365;=337;=0;=0;=317;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=244;=211;=0;=0;=317;5
Gateway_1;29;43,29;=2,32;=181,4*1024;=7,646*1024*1024;=98;=129;=0;=16,4;=324;6
Rpc;12;0,01;=0,14;=10,91*1024;=7,646*1024*1024;=332;=284;=258;=28,7;=324;6
Client_1;18;1,42;=0,20;=15,62*1024;=7,646*1024*1024;=285;=227;=205;=1,48*1000;=324;6
Clients_Router_1;2;0,01;=0,01;=820;=7,646*1024*1024;=375;=347;=0;=0;=324;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=251;=218;=0;=0;=324;6
