Node_1;18;4,78;=0,21;=16,78*1024;=7,646*1024*1024;=430;=363;=553;=3,69*1000;=216;10;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=617;=607;=0;=0;=216;10;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=386;=376;=0;=0;=216;10;
Gateway_1;29;42,23;=2,36;=185,1*1024;=7,646*1024*1024;=194;=222;=25,5*1000;=16,4;=223;15;
Rpc;12;0,45;=0,14;=10,68*1024;=7,646*1024*1024;=554;=536;=262;=28,7;=223;15;
Node_1;18;5,39;=0,22;=16,87*1024;=7,646*1024*1024;=455;=385;=553;=4,08*1000;=223;15;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=655;=646;=0;=0;=223;15;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=410;=400;=0;=0;=223;15;
Gateway_1;29;43,87;=2,37;=185,3*1024;=7,646*1024*1024;=205;=235;=25,5*1000;=16,4;=231;7;
Rpc;12;0,43;=0,14;=10,78*1024;=7,646*1024*1024;=585;=567;=262;=28,7;=231;7;
Node_1;18;5,41;=0,22;=16,95*1024;=7,646*1024*1024;=478;=404;=553;=4,48*1000;=231;7;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=693;=684;=0;=0;=231;7;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=439;=428;=0;=0;=231;7;
Gateway_1;29;36,23;=2,37;=185,6*1024;=7,646*1024*1024;=216;=249;=25,5*1000;=16,4;=239;15;
Rpc;12;0,20;=0,14;=10,73*1024;=7,646*1024*1024;=619;=602;=262;=28,7;=239;15;
Node_1;18;1,55;=0,22;=17,1*1024;=7,646*1024*1024;=509;=431;=553;=4,92*1000;=239;15;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=737;=727;=0;=0;=239;15;
